category_id,parent_id,category_name,category_description,icon,image_path,active,created_at,updated_at
1,,computers and accessories,Section discuss college guess quite employee condition where born modern organization.,future.png,/place/sense.jpg,FALSE,2023-01-31T23:08:07,2020-10-13T16:27:02
2,,electrical & photo,Miss federal five leave something key relate season friend area my politics ok know soon car energy effort big.,financial.png,/accept/while.jpg,FALSE,2023-04-11T07:23:33,2022-05-17T17:36:10
3,,books,Machine state expect hot job foreign popular treatment ago sign above accept billion defense deep her before.,social.png,/side/present.jpg,FALSE,2022-03-23T05:06:04,2022-10-04T22:38:19
4,,car & bike,Baby for song defense rock today where stage affect short third trade story question tonight some.,mother.png,/soon/reveal.jpg,TRUE,2022-01-21T08:59:34,2021-06-05T21:49:16
5,,Extended real-time Graphic Interface,Color light social interview anything example hot or out scientist entire.,for.png,/box/people.jpg,TRUE,2023-08-04T17:20:37,2021-04-23T07:55:03
6,,Enhanced radical standardization,Foreign thing federal hard least act dream painting himself appear.,people.png,/watch/social.jpg,TRUE,2021-11-27T19:45:04,2021-04-04T09:14:00
7,,Managed encompassing strategy,Kind accept every particularly trouble commercial energy then conference possible.,fast.png,/majority/consider.jpg,FALSE,2021-11-16T05:45:31,2020-05-24T14:37:59
8,,Optional upward-trending task-force,Very production type beyond side people partner fish culture.,whom.png,/either/reach.jpg,FALSE,2022-02-28T17:28:57,2023-07-17T13:45:50
9,,Multi-layered national collaboration,Budget want onto final explain hit citizen left test should certainly history turn federal not then gas we common national maintain.,exist.png,/hair/there.jpg,TRUE,2021-09-19T13:48:54,2021-06-01T13:42:10
10,,Grass-roots tertiary strategy,Man this set possible call hotel certain response behind.,wish.png,/ground/food.jpg,FALSE,2020-06-09T04:09:55,2021-11-20T01:49:29
11,,Diverse local hardware,Nature side party outside suggest lot result eight after president say.,hot.png,/many/most.jpg,TRUE,2023-04-23T07:39:15,2020-03-13T10:09:07
12,,Synergized scalable structure,History worker something child by see staff rise far face water record look clear four significant church college minute.,television.png,/list/hot.jpg,TRUE,2022-10-27T21:19:03,2020-02-07T18:49:47
13,,Customizable next generation encryption,Line already blue southern the for man draw subject poor system man white plan would attack fish man.,dog.png,/work/lay.jpg,TRUE,2020-06-08T06:11:29,2023-02-28T18:45:23
14,,Multi-layered impactful support,Economy board information edge yet miss film first parent piece design capital clearly nothing likely doctor.,do.png,/and/garden.jpg,FALSE,2022-11-27T01:52:27,2023-01-10T05:02:29
